id,name,description,price,stock,category_id,image_url,brand,images,variants,tags,reviews,questions,faqs,size_chart,store_type,featured,colors
58,Produit Test 9,Description détaillée du produit test 9,703.32,30,2,https://picsum.photos/400/600?random=9,Adidas,"{https://picsum.photos/400/600?random=9,https://picsum.photos/400/600?random=10}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 39}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 14}]","{sport,tendance,nouveau}","[{""user"": ""User9"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
59,Produit Test 10,Description détaillée du produit test 10,850.10,99,2,https://picsum.photos/400/600?random=10,Puma,"{https://picsum.photos/400/600?random=10,https://picsum.photos/400/600?random=11}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 35}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 41}]","{sport,tendance,nouveau}","[{""user"": ""User10"", ""rating"": 4, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
60,Produit Test 11,Description détaillée du produit test 11,949.86,7,2,https://picsum.photos/400/600?random=11,Under Armour,"{https://picsum.photos/400/600?random=11,https://picsum.photos/400/600?random=12}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 2}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 6}]","{sport,tendance,nouveau}","[{""user"": ""User11"", ""rating"": 2, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
61,Produit Test 12,Description détaillée du produit test 12,749.81,74,2,https://picsum.photos/400/600?random=12,Nike,"{https://picsum.photos/400/600?random=12,https://picsum.photos/400/600?random=13}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 49}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 12}]","{sport,tendance,nouveau}","[{""user"": ""User12"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
62,Produit Test 13,Description détaillée du produit test 13,783.92,50,2,https://picsum.photos/400/600?random=13,Adidas,"{https://picsum.photos/400/600?random=13,https://picsum.photos/400/600?random=14}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 8}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 36}]","{sport,tendance,nouveau}","[{""user"": ""User13"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
63,Produit Test 14,Description détaillée du produit test 14,852.42,35,2,https://picsum.photos/400/600?random=14,Puma,"{https://picsum.photos/400/600?random=14,https://picsum.photos/400/600?random=15}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 41}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 38}]","{sport,tendance,nouveau}","[{""user"": ""User14"", ""rating"": 3, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
64,Produit Test 15,Description détaillée du produit test 15,883.12,79,2,https://picsum.photos/400/600?random=15,Under Armour,"{https://picsum.photos/400/600?random=15,https://picsum.photos/400/600?random=16}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 12}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 24}]","{sport,tendance,nouveau}","[{""user"": ""User15"", ""rating"": 3, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
65,Produit Test 16,Description détaillée du produit test 16,207.48,10,2,https://picsum.photos/400/600?random=16,Nike,"{https://picsum.photos/400/600?random=16,https://picsum.photos/400/600?random=17}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 31}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 9}]","{sport,tendance,nouveau}","[{""user"": ""User16"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
66,Produit Test 17,Description détaillée du produit test 17,326.97,16,2,https://picsum.photos/400/600?random=17,Adidas,"{https://picsum.photos/400/600?random=17,https://picsum.photos/400/600?random=18}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 33}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 1}]","{sport,tendance,nouveau}","[{""user"": ""User17"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
67,Produit Test 18,Description détaillée du produit test 18,571.54,17,2,https://picsum.photos/400/600?random=18,Puma,"{https://picsum.photos/400/600?random=18,https://picsum.photos/400/600?random=19}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 15}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 41}]","{sport,tendance,nouveau}","[{""user"": ""User18"", ""rating"": 4, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
68,Produit Test 19,Description détaillée du produit test 19,999.17,25,2,https://picsum.photos/400/600?random=19,Under Armour,"{https://picsum.photos/400/600?random=19,https://picsum.photos/400/600?random=20}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 22}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 46}]","{sport,tendance,nouveau}","[{""user"": ""User19"", ""rating"": 4, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
69,Produit Test 20,Description détaillée du produit test 20,513.61,8,2,https://picsum.photos/400/600?random=20,Nike,"{https://picsum.photos/400/600?random=20,https://picsum.photos/400/600?random=21}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 5}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 40}]","{sport,tendance,nouveau}","[{""user"": ""User20"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
70,Produit Test 21,Description détaillée du produit test 21,127.24,47,2,https://picsum.photos/400/600?random=21,Adidas,"{https://picsum.photos/400/600?random=21,https://picsum.photos/400/600?random=22}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 43}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 11}]","{sport,tendance,nouveau}","[{""user"": ""User21"", ""rating"": 3, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
71,Produit Test 22,Description détaillée du produit test 22,244.42,94,2,https://picsum.photos/400/600?random=22,Puma,"{https://picsum.photos/400/600?random=22,https://picsum.photos/400/600?random=23}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 48}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 24}]","{sport,tendance,nouveau}","[{""user"": ""User22"", ""rating"": 3, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
72,Produit Test 23,Description détaillée du produit test 23,739.70,57,2,https://picsum.photos/400/600?random=23,Under Armour,"{https://picsum.photos/400/600?random=23,https://picsum.photos/400/600?random=24}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 40}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 42}]","{sport,tendance,nouveau}","[{""user"": ""User23"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
73,Produit Test 24,Description détaillée du produit test 24,382.50,96,2,https://picsum.photos/400/600?random=24,Nike,"{https://picsum.photos/400/600?random=24,https://picsum.photos/400/600?random=25}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 25}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 20}]","{sport,tendance,nouveau}","[{""user"": ""User24"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
74,Produit Test 25,Description détaillée du produit test 25,298.11,31,2,https://picsum.photos/400/600?random=25,Adidas,"{https://picsum.photos/400/600?random=25,https://picsum.photos/400/600?random=26}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 4}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 49}]","{sport,tendance,nouveau}","[{""user"": ""User25"", ""rating"": 1, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
75,Produit Test 26,Description détaillée du produit test 26,294.89,79,2,https://picsum.photos/400/600?random=26,Puma,"{https://picsum.photos/400/600?random=26,https://picsum.photos/400/600?random=27}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 34}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 12}]","{sport,tendance,nouveau}","[{""user"": ""User26"", ""rating"": 2, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
76,Produit Test 27,Description détaillée du produit test 27,502.06,35,2,https://picsum.photos/400/600?random=27,Under Armour,"{https://picsum.photos/400/600?random=27,https://picsum.photos/400/600?random=28}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 42}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 21}]","{sport,tendance,nouveau}","[{""user"": ""User27"", ""rating"": 1, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
77,Produit Test 28,Description détaillée du produit test 28,148.21,44,2,https://picsum.photos/400/600?random=28,Nike,"{https://picsum.photos/400/600?random=28,https://picsum.photos/400/600?random=29}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 37}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 31}]","{sport,tendance,nouveau}","[{""user"": ""User28"", ""rating"": 1, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
78,Produit Test 29,Description détaillée du produit test 29,932.20,37,2,https://picsum.photos/400/600?random=29,Adidas,"{https://picsum.photos/400/600?random=29,https://picsum.photos/400/600?random=30}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 16}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 33}]","{sport,tendance,nouveau}","[{""user"": ""User29"", ""rating"": 5, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
79,Produit Test 30,Description détaillée du produit test 30,386.38,90,2,https://picsum.photos/400/600?random=30,Puma,"{https://picsum.photos/400/600?random=30,https://picsum.photos/400/600?random=31}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 20}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 20}]","{sport,tendance,nouveau}","[{""user"": ""User30"", ""rating"": 2, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
80,Produit Test 31,Description détaillée du produit test 31,205.67,30,2,https://picsum.photos/400/600?random=31,Under Armour,"{https://picsum.photos/400/600?random=31,https://picsum.photos/400/600?random=32}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 41}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 44}]","{sport,tendance,nouveau}","[{""user"": ""User31"", ""rating"": 2, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
81,Produit Test 32,Description détaillée du produit test 32,487.89,62,2,https://picsum.photos/400/600?random=32,Nike,"{https://picsum.photos/400/600?random=32,https://picsum.photos/400/600?random=33}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 37}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 41}]","{sport,tendance,nouveau}","[{""user"": ""User32"", ""rating"": 1, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
82,Produit Test 33,Description détaillée du produit test 33,323.36,67,2,https://picsum.photos/400/600?random=33,Adidas,"{https://picsum.photos/400/600?random=33,https://picsum.photos/400/600?random=34}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 26}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 20}]","{sport,tendance,nouveau}","[{""user"": ""User33"", ""rating"": 2, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",kids,f,
83,Produit Test 34,Description détaillée du produit test 34,696.16,93,2,https://picsum.photos/400/600?random=34,Puma,"{https://picsum.photos/400/600?random=34,https://picsum.photos/400/600?random=35}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 6}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 35}]","{sport,tendance,nouveau}","[{""user"": ""User34"", ""rating"": 3, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",sneakers,f,
84,Produit Test 35,Description détaillée du produit test 35,800.16,12,2,https://picsum.photos/400/600?random=35,Under Armour,"{https://picsum.photos/400/600?random=35,https://picsum.photos/400/600?random=36}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 20}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 45}]","{sport,tendance,nouveau}","[{""user"": ""User35"", ""rating"": 3, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",cpcompany,f,
85,Produit Test 36,Description détaillée du produit test 36,224.87,30,2,https://picsum.photos/400/600?random=36,Nike,"{https://picsum.photos/400/600?random=36,https://picsum.photos/400/600?random=37}","[{""size"": ""M"", ""color"": ""Noir"", ""stock"": 22}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 13}]","{sport,tendance,nouveau}","[{""user"": ""User36"", ""rating"": 3, ""comment"": ""Très bon produit!""}]","[{""answer"": ""Taille standard."", ""question"": ""Question sur la taille?""}]","[{""answer"": ""Lavage à 30°C"", ""question"": ""Comment laver?""}]","{""L"": ""42-44"", ""M"": ""40-42"", ""S"": ""38-40"", ""XL"": ""44-46"", ""XS"": ""36-38""}",adult,f,
